                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91997,                 2.9642,                 1.3839,                0.58588,                0.66502,                 0.6485,                0.53321,                 0.6742,                 2.0264,                 1.2573,                 0.0775,                 0.0025,                 0.0025
                      1,                 0.7241,                 1.4784,                  1.246,                0.75535,                0.74576,                0.87199,                0.75975,                   0.57,                0.98949,                 1.1485,                0.05409,              0.0050899,              0.0050899
                      2,                0.63424,                 1.1498,                 1.1485,                 0.7736,                0.75922,                0.83725,                0.71927,                0.60644,                0.87481,                 1.1828,                0.03067,              0.0076695,              0.0076695
                      3,                0.64582,                 1.0041,                 1.1194,                0.69827,                0.74137,                0.80053,                 0.6642,                0.62775,                 1.5535,                 1.2083,              0.0099406,              0.0099406,              0.0099406
                      4,                   0.66,                0.85791,                 1.1492,                0.73093,                0.80872,                0.86142,                0.70144,                0.79196,                 1.4989,                  1.468,              0.0099406,              0.0099406,              0.0099406
                      5,                0.69032,                 0.8363,                 1.1856,                0.75984,                0.77128,                0.83632,                0.64547,                0.90884,                 1.3286,                 1.5342,              0.0099208,              0.0099208,              0.0099208
                      6,                0.66802,                0.77366,                 1.1454,                0.74885,                0.85147,                 0.8987,                0.74725,                0.66785,                0.87201,                 1.2743,               0.009901,               0.009901,               0.009901
                      7,                0.68465,                0.76151,                 1.1485,                0.73696,                0.81179,                0.87778,                0.70354,                0.74704,                 1.2109,                 1.4044,              0.0098812,              0.0098812,              0.0098812
                      8,                0.68077,                0.72433,                 1.1291,                0.75487,                0.84539,                0.90724,                0.74464,                0.68881,                 1.1243,                 1.2864,              0.0098614,              0.0098614,              0.0098614
                      9,                0.67447,                0.72986,                 1.1648,                0.79979,                0.83667,                0.87689,                0.70234,                0.78429,                0.94271,                 1.3862,              0.0098416,              0.0098416,              0.0098416
                     10,                0.67484,                0.71892,                 1.1475,                0.84705,                0.86116,                0.92242,                0.71756,                0.83997,                0.89239,                 1.4233,              0.0098218,              0.0098218,              0.0098218
                     11,                0.66315,                0.73261,                 1.1585,                0.67738,                 0.7998,                0.81617,                0.67281,                0.71527,                 1.1052,                 1.3066,               0.009802,               0.009802,               0.009802
                     12,                0.66899,                0.72152,                 1.1468,                0.82364,                0.88488,                0.92012,                0.72919,                0.79438,                0.93132,                  1.437,              0.0097822,              0.0097822,              0.0097822
                     13,                0.67408,                0.69599,                 1.1601,                0.87949,                0.89083,                0.94087,                0.77045,                0.73642,                0.74242,                 1.3461,              0.0097624,              0.0097624,              0.0097624
                     14,                0.66542,                0.67764,                 1.1362,                0.81636,                0.83554,                0.88989,                0.74882,                0.62864,                0.84517,                 1.2069,              0.0097426,              0.0097426,              0.0097426
                     15,                0.67478,                0.70122,                  1.141,                0.89063,                0.88031,                0.95039,                0.80145,                 0.6351,                0.64758,                 1.2361,              0.0097228,              0.0097228,              0.0097228
                     16,                 0.6717,                0.70032,                 1.1389,                0.89619,                0.91982,                0.96101,                0.83817,                0.58626,                 0.5596,                 1.1716,               0.009703,               0.009703,               0.009703
                     17,                0.63869,                0.68202,                 1.1196,                0.94937,                0.93753,                0.98424,                0.85011,                0.55983,                0.51761,                 1.1406,              0.0096832,              0.0096832,              0.0096832
                     18,                0.63857,                0.64207,                 1.1168,                0.94874,                0.92364,                0.97917,                0.85276,                0.57704,                0.53997,                 1.1502,              0.0096634,              0.0096634,              0.0096634
                     19,                0.62311,                0.62714,                 1.1076,                0.92313,                0.94265,                0.97832,                0.86006,                0.52305,                0.56893,                 1.1003,              0.0096436,              0.0096436,              0.0096436
                     20,                0.64545,                0.61707,                 1.1266,                0.91153,                0.94011,                0.97098,                0.85325,                0.51929,                0.50344,                 1.0729,              0.0096238,              0.0096238,              0.0096238
                     21,                0.59904,                0.61076,                 1.1074,                0.79781,                0.85327,                0.92475,                0.77806,                0.67267,                0.79867,                 1.2416,               0.009604,               0.009604,               0.009604
                     22,                0.61899,                0.60895,                 1.1141,                 0.9489,                0.94485,                 0.9837,                0.87012,                0.52999,                0.48046,                 1.1025,              0.0095842,              0.0095842,              0.0095842
                     23,                 0.6164,                 0.5967,                 1.1108,                0.94506,                0.91535,                0.97363,                0.85544,                0.54436,                0.52121,                 1.1527,              0.0095644,              0.0095644,              0.0095644
                     24,                0.60396,                0.60536,                 1.0797,                0.93481,                0.89777,                0.97089,                0.85147,                0.57554,                0.57625,                 1.1755,              0.0095446,              0.0095446,              0.0095446
                     25,                0.58659,                0.56016,                 1.0791,                0.91955,                 0.9339,                0.97855,                0.87752,                0.49864,                0.52073,                  1.066,              0.0095248,              0.0095248,              0.0095248
                     26,                0.61424,                0.60468,                 1.1122,                0.88782,                0.93085,                 0.9789,                0.88734,                 0.4683,                0.52141,                  1.043,               0.009505,               0.009505,               0.009505
                     27,                0.60939,                0.56352,                 1.0865,                0.94214,                0.98126,                0.97762,                0.86378,                0.52144,                0.43482,                 1.0995,              0.0094852,              0.0094852,              0.0094852
                     28,                0.61138,                0.59502,                 1.0941,                0.92664,                0.92634,                0.96857,                 0.8517,                0.55297,                 0.5287,                 1.1212,              0.0094654,              0.0094654,              0.0094654
                     29,                0.59421,                0.58174,                 1.0982,                0.91795,                0.92803,                0.97831,                0.86214,                0.53392,                0.53606,                 1.0999,              0.0094456,              0.0094456,              0.0094456
                     30,                0.58663,                0.55975,                 1.0672,                0.97154,                 0.9405,                0.98162,                0.89497,                0.45679,                0.42371,                 1.0372,              0.0094258,              0.0094258,              0.0094258
                     31,                0.59343,                 0.5496,                 1.0864,                0.93421,                0.94892,                0.98741,                0.90721,                0.43453,                0.42473,                 1.0043,               0.009406,               0.009406,               0.009406
                     32,                0.57183,                 0.5649,                 1.0738,                0.95312,                0.93758,                0.98804,                0.89728,                0.48297,                0.43667,                 1.0652,              0.0093862,              0.0093862,              0.0093862
                     33,                0.57882,                 0.5374,                 1.0842,                 0.9361,                0.96455,                0.98929,                0.89671,                0.49016,                0.43091,                 1.0578,              0.0093664,              0.0093664,              0.0093664
                     34,                 0.5854,                0.54583,                 1.0919,                0.92589,                 0.9618,                0.98346,                0.89575,                0.46061,                0.40773,                 1.0517,              0.0093466,              0.0093466,              0.0093466
                     35,                  0.568,                0.52769,                 1.0777,                0.96283,                0.95097,                0.98866,                0.89892,                0.46526,                 0.3893,                  1.053,              0.0093268,              0.0093268,              0.0093268
                     36,                 0.5793,                 0.5623,                 1.0884,                0.93907,                0.94105,                0.98632,                0.90251,                0.44361,                 0.4371,                 1.0224,               0.009307,               0.009307,               0.009307
                     37,                0.55828,                0.52302,                 1.0561,                0.93386,                0.92363,                0.97693,                0.89297,                0.45197,                0.46445,                 1.0127,              0.0092872,              0.0092872,              0.0092872
                     38,                0.59172,                0.55577,                 1.0773,                0.92868,                0.95956,                0.98181,                0.89614,                0.47085,                0.40456,                 1.0366,              0.0092674,              0.0092674,              0.0092674
                     39,                0.57196,                0.54569,                 1.0632,                0.93909,                0.95917,                0.98361,                0.89575,                 0.4445,                0.40266,                 1.0106,              0.0092476,              0.0092476,              0.0092476
                     40,                0.56164,                0.51995,                 1.0691,                0.93415,                0.96656,                0.98632,                0.89612,                0.44434,                0.38797,                 1.0168,              0.0092278,              0.0092278,              0.0092278
                     41,                 0.5716,                0.53057,                 1.0705,                0.93914,                0.94828,                0.97906,                0.88209,                0.50828,                  0.441,                 1.0944,               0.009208,               0.009208,               0.009208
                     42,                0.54333,                0.50861,                 1.0609,                0.94805,                0.96975,                 0.9889,                0.91187,                0.42592,                0.38099,                0.99457,              0.0091882,              0.0091882,              0.0091882
                     43,                0.55824,                0.50772,                 1.0719,                0.90075,                0.96037,                0.98018,                0.89828,                0.44359,                0.48466,                 1.0291,              0.0091684,              0.0091684,              0.0091684
                     44,                0.54982,                 0.5037,                 1.0661,                0.95147,                0.95915,                0.98095,                0.90532,                0.41802,                0.38209,                0.99161,              0.0091486,              0.0091486,              0.0091486
                     45,                0.56583,                0.50229,                 1.0596,                0.96441,                0.96493,                0.98962,                0.91248,                0.44911,                0.38064,                 1.0205,              0.0091288,              0.0091288,              0.0091288
                     46,                0.54973,                0.52856,                 1.0632,                0.92479,                0.94387,                0.98131,                0.89268,                0.47008,                0.46062,                  1.046,               0.009109,               0.009109,               0.009109
                     47,                0.56128,                0.52133,                 1.0775,                0.94291,                0.97592,                0.98697,                0.90884,                0.42392,                0.41116,                0.99829,              0.0090892,              0.0090892,              0.0090892
                     48,                0.54579,                0.52831,                 1.0651,                0.95074,                0.95741,                0.98942,                0.91278,                0.41937,                0.39108,                0.97844,              0.0090694,              0.0090694,              0.0090694
                     49,                0.55438,                0.52113,                 1.0607,                0.96531,                0.95278,                0.98728,                0.91297,                0.42472,                 0.3866,                0.99233,              0.0090496,              0.0090496,              0.0090496
                     50,                0.54612,                0.52851,                 1.0512,                0.96939,                0.97321,                0.98855,                0.91043,                0.44149,                0.38507,                 1.0082,              0.0090298,              0.0090298,              0.0090298
                     51,                0.55769,                0.49637,                 1.0535,                0.95988,                0.98497,                0.98887,                0.91236,                0.43365,                0.34701,                 1.0111,                0.00901,                0.00901,                0.00901
                     52,                0.53965,                0.48993,                 1.0594,                0.95491,                0.97997,                0.98839,                 0.9161,                0.41471,                0.35135,                0.98928,              0.0089902,              0.0089902,              0.0089902
                     53,                0.52268,                0.47245,                 1.0444,                0.96265,                0.96894,                0.98628,                0.92151,                0.39445,                0.33543,                0.96207,              0.0089704,              0.0089704,              0.0089704
                     54,                0.52866,                0.49026,                 1.0446,                0.95375,                0.98324,                0.98944,                0.92575,                0.38905,                0.33248,                0.96089,              0.0089506,              0.0089506,              0.0089506
                     55,                0.50909,                0.47801,                  1.041,                0.97816,                 0.9467,                0.98827,                 0.9182,                0.40156,                0.34876,                0.96834,              0.0089308,              0.0089308,              0.0089308
                     56,                 0.5269,                0.45271,                 1.0459,                0.95574,                0.96303,                0.98646,                0.91462,                0.40457,                 0.3343,                0.97621,               0.008911,               0.008911,               0.008911
                     57,                0.50642,                0.45213,                 1.0234,                0.98775,                0.96383,                0.99185,                0.92432,                0.41126,                0.32483,                0.97854,              0.0088912,              0.0088912,              0.0088912
                     58,                0.52704,                0.46687,                 1.0419,                0.97512,                 0.9787,                0.99044,                0.93136,                0.36848,                0.31281,                 0.9333,              0.0088714,              0.0088714,              0.0088714
                     59,                0.50931,                0.45103,                 1.0344,                0.96449,                 0.9767,                0.98772,                0.93209,                0.37133,                0.32917,                0.94269,              0.0088516,              0.0088516,              0.0088516
                     60,                0.51781,                0.44991,                 1.0417,                0.96477,                0.96628,                0.98788,                0.92957,                0.37737,                0.34493,                0.93736,              0.0088318,              0.0088318,              0.0088318
                     61,                0.51115,                0.46428,                 1.0398,                0.94859,                0.97502,                0.98705,                0.91858,                0.38236,                0.35798,                0.95017,               0.008812,               0.008812,               0.008812
                     62,                0.49055,                0.43853,                 1.0201,                0.98805,                0.97705,                0.99359,                0.93206,                0.38508,                0.31877,                0.96139,              0.0087922,              0.0087922,              0.0087922
                     63,                0.49847,                0.44948,                 1.0312,                0.97573,                0.98716,                0.99209,                0.93546,                0.36903,                0.30129,                0.94356,              0.0087724,              0.0087724,              0.0087724
                     64,                0.51322,                 0.4446,                 1.0195,                0.97746,                0.98098,                0.99294,                 0.9365,                 0.3683,                0.30326,                0.94681,              0.0087526,              0.0087526,              0.0087526
                     65,                0.50299,                0.44098,                 1.0456,                   0.98,                0.96999,                0.99231,                0.93136,                0.35358,                0.30461,                0.93491,              0.0087328,              0.0087328,              0.0087328
                     66,                0.48796,                0.43558,                 1.0341,                0.97033,                0.97735,                0.98841,                0.93706,                0.36468,                0.30808,                0.94163,               0.008713,               0.008713,               0.008713
                     67,                0.49052,                0.42705,                 1.0197,                0.97048,                0.98692,                0.99144,                0.93513,                 0.3558,                0.30188,                0.92506,              0.0086932,              0.0086932,              0.0086932
                     68,                0.50656,                0.45111,                 1.0329,                0.98028,                0.97893,                 0.9906,                0.93783,                0.37018,                 0.3025,                0.94578,              0.0086734,              0.0086734,              0.0086734
                     69,                0.48979,                0.44683,                 1.0283,                0.98086,                 0.9489,                0.99025,                0.92829,                0.40003,                0.32322,                0.97718,              0.0086536,              0.0086536,              0.0086536
                     70,                0.47493,                0.43886,                 1.0118,                0.95995,                0.98273,                0.99068,                0.92766,                0.38144,                0.29724,                0.95259,              0.0086338,              0.0086338,              0.0086338
                     71,                0.49872,                0.44297,                 1.0329,                0.97422,                0.97689,                0.99002,                0.93605,                 0.3406,                0.29348,                0.90853,               0.008614,               0.008614,               0.008614
                     72,                0.49758,                0.44502,                 1.0317,                0.97002,                0.97194,                0.98985,                0.93757,                 0.3518,                0.29337,                0.91869,              0.0085942,              0.0085942,              0.0085942
                     73,                0.49163,                0.45098,                 1.0236,                0.96642,                0.97107,                0.99043,                0.93802,                0.34612,                0.30608,                0.91141,              0.0085744,              0.0085744,              0.0085744
                     74,                0.47643,                0.41286,                 1.0044,                0.97804,                0.97362,                0.99297,                0.93505,                0.37774,                0.29155,                0.94497,              0.0085546,              0.0085546,              0.0085546
                     75,                0.46858,                0.41857,                 1.0059,                0.96575,                0.96834,                0.99197,                 0.9342,                0.36563,                0.31385,                0.92436,              0.0085348,              0.0085348,              0.0085348
                     76,                0.49389,                0.44206,                 1.0215,                0.97476,                0.97261,                0.99236,                0.93687,                0.35441,                0.28681,                0.92551,               0.008515,               0.008515,               0.008515
                     77,                0.50511,                0.45962,                 1.0271,                0.97792,                0.97782,                0.99235,                0.93462,                0.35552,                0.28435,                0.92269,              0.0084952,              0.0084952,              0.0084952
                     78,                0.49957,                0.45504,                 1.0293,                0.97339,                0.97828,                0.99026,                0.93937,                0.35245,                0.30733,                0.92664,              0.0084754,              0.0084754,              0.0084754
