                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76815,                 2.2375,                 1.3506,                0.72523,                0.78649,                0.82199,                0.73036,                0.48149,                 1.2512,                 1.1001,               0.070291,               0.003301,               0.003301
                      1,                0.60034,                   1.37,                 1.1663,                0.82731,                0.82734,                0.90133,                0.80323,                0.48478,                0.88753,                 1.0776,               0.040226,              0.0065686,              0.0065686
                      2,                0.64038,                 1.1645,                 1.1753,                0.83362,                0.83578,                0.88115,                0.78211,                0.49387,                0.80533,                 1.0897,               0.010094,              0.0097703,              0.0097703
                      3,                0.68411,                 1.2751,                 1.2058,                0.78476,                  0.815,                0.91634,                0.80069,                0.49782,                 1.7764,                 1.1053,               0.009703,               0.009703,               0.009703
                      4,                0.72968,                 1.0677,                 1.2381,                0.80132,                0.88015,                 0.9269,                0.79703,                0.64021,                0.80433,                 1.2339,               0.009703,               0.009703,               0.009703
                      5,                0.72038,                0.98004,                 1.2348,                0.86316,                0.85898,                0.90554,                0.79475,                0.54605,                0.72134,                 1.1808,               0.009604,               0.009604,               0.009604
                      6,                0.69274,                  0.901,                 1.2171,                0.92728,                 0.8678,                 0.9647,                0.84506,                0.54499,                0.63029,                 1.1552,               0.009505,               0.009505,               0.009505
                      7,                0.70195,                0.87027,                 1.2137,                0.87883,                0.90792,                0.95762,                0.84462,                0.48111,                0.67497,                 1.0836,               0.009406,               0.009406,               0.009406
                      8,                0.69968,                0.89991,                 1.1978,                 0.9112,                0.88274,                0.95172,                0.83473,                0.53117,                0.61724,                 1.1575,               0.009307,               0.009307,               0.009307
                      9,                0.69031,                0.79769,                 1.1938,                0.88805,                0.91624,                0.95167,                0.83656,                0.55625,                0.58532,                 1.1904,               0.009208,               0.009208,               0.009208
                     10,                 0.6811,                0.85922,                 1.1831,                0.88951,                 0.8346,                0.92938,                0.81879,                 0.5907,                0.71947,                 1.1899,               0.009109,               0.009109,               0.009109
                     11,                 0.6999,                0.85141,                 1.2225,                0.90993,                 0.9083,                0.96347,                0.86578,                0.48768,                0.54895,                 1.0897,                0.00901,                0.00901,                0.00901
                     12,                0.73102,                0.81214,                 1.2522,                0.86405,                0.90322,                0.94944,                0.86081,                0.46852,                0.60756,                 1.0555,               0.008911,               0.008911,               0.008911
                     13,                0.66994,                0.81194,                 1.2161,                0.94544,                 0.9508,                0.98345,                0.87354,                0.52399,                0.52287,                 1.1445,               0.008812,               0.008812,               0.008812
                     14,                0.69489,                0.77918,                 1.2234,                0.91666,                 0.8822,                0.96643,                0.84952,                0.57483,                0.59242,                 1.1806,               0.008713,               0.008713,               0.008713
                     15,                0.64495,                0.72329,                   1.16,                0.92205,                0.88011,                0.96431,                0.86503,                0.48308,                0.58769,                 1.0982,               0.008614,               0.008614,               0.008614
                     16,                0.66159,                0.75428,                 1.1732,                0.90397,                0.90358,                0.96067,                0.86741,                0.46839,                 0.5114,                 1.0724,               0.008515,               0.008515,               0.008515
                     17,                 0.6608,                0.76494,                 1.1767,                0.88277,                0.92632,                0.97304,                0.86956,                 0.5021,                0.57996,                 1.1046,               0.008416,               0.008416,               0.008416
                     18,                0.64916,                0.77646,                 1.1771,                0.92832,                0.93058,                0.98161,                0.89389,                0.46537,                0.49538,                 1.0618,               0.008317,               0.008317,               0.008317
                     19,                0.64895,                0.70477,                 1.1598,                0.94019,                0.94859,                0.98323,                0.88741,                0.46634,                0.44797,                 1.0655,               0.008218,               0.008218,               0.008218
                     20,                0.64773,                0.70886,                 1.1595,                0.94831,                0.97839,                 0.9822,                0.88785,                 0.4694,                0.40871,                 1.0858,               0.008119,               0.008119,               0.008119
                     21,                0.63634,                 0.6576,                 1.1804,                0.94567,                0.95688,                0.98023,                0.89758,                0.43939,                0.40976,                 1.0546,                0.00802,                0.00802,                0.00802
                     22,                0.62802,                0.67331,                 1.1536,                0.92781,                0.93134,                0.98198,                0.88745,                0.46075,                0.45454,                 1.0589,               0.007921,               0.007921,               0.007921
                     23,                0.61711,                0.63742,                  1.142,                0.92858,                0.97582,                0.98242,                0.90204,                0.41114,                0.40875,                 1.0016,               0.007822,               0.007822,               0.007822
                     24,                0.64005,                0.67628,                 1.1554,                0.92135,                0.96109,                0.98142,                0.90644,                0.40571,                0.42159,                0.98722,               0.007723,               0.007723,               0.007723
                     25,                0.62428,                0.66528,                 1.1296,                0.94589,                0.97161,                0.98329,                0.91778,                0.39214,                0.38879,                0.98873,               0.007624,               0.007624,               0.007624
                     26,                0.60801,                0.65245,                 1.1273,                0.95182,                 0.9634,                0.98577,                0.91505,                 0.3917,                0.39953,                0.98434,               0.007525,               0.007525,               0.007525
                     27,                0.62008,                0.63547,                  1.152,                0.95655,                0.97093,                0.98805,                0.91259,                0.39022,                 0.3689,                0.97629,               0.007426,               0.007426,               0.007426
                     28,                0.59237,                0.64193,                 1.1303,                0.96306,                0.95159,                0.98958,                0.91744,                0.40239,                0.34407,                0.99221,               0.007327,               0.007327,               0.007327
                     29,                0.57688,                0.61297,                 1.1104,                0.96263,                0.97779,                 0.9887,                0.92626,                0.37701,                0.33288,                0.97157,               0.007228,               0.007228,               0.007228
                     30,                0.59903,                0.62185,                 1.1445,                0.95036,                0.97829,                0.97861,                0.91025,                0.38908,                 0.3353,                0.97062,               0.007129,               0.007129,               0.007129
